Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Matteo Darmian\Matteo-Darmian,it ITA,DF,Parma,31-149,1989,3,208,2.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Pawe? Dawidowicz\Pawel-Dawidowicz,pl POL,DF,Hellas Verona,25-345,1995,25,1623,18,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Udinese,34-056,1987,14,804,8.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MF,Udinese,26-341,1994,31,2773,30.8,8,7,5,3,3,4,2,0.26,0.23,0.49,0.16,0.39,Matches
Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Juventus,28-192,1992,1,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Bologna,32-342,1988,26,1896,21.1,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,Matches
Grégoire Defrel\Gregoire-Defrel,mq MTQ,FWMF,Sassuolo,29-317,1991,23,1104,12.3,2,3,2,0,0,1,0,0.16,0.24,0.41,0.16,0.41,Matches
Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,25-272,1995,7,284,3.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Spezia,25-272,1995,12,360,4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Lorenzo Del Pinto\Lorenzo-Del-Pinto,it ITA,MF,Benevento,30-317,1990,1,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Spezia,27-079,1994,8,262,2.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Merih Demiral\Merih-Demiral,tr TUR,DF,Juventus,23-056,1998,14,919,10.2,0,1,0,0,0,1,0,0,0.1,0.1,0,0.1,Matches
Diego Demme\Diego-Demme,de GER,MF,Napoli,29-160,1991,21,1403,15.6,2,3,2,0,0,5,0,0.13,0.19,0.32,0.13,0.32,Matches
Stefano Denswil\Stefano-Denswil,nl NED,DF,Bologna,27-358,1993,5,115,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Atalanta,24-006,1997,5,191,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fabio Depaoli\Fabio-Depaoli,it ITA,MF,Sampdoria,24-006,1997,2,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Benevento,24-006,1997,11,907,10.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Kastriot Dermaku\Kastriot-Dermaku,al ALB,DF,Parma,29-105,1992,2,100,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kiril Despodov\Kiril-Despodov,bg BUL,FW,Cagliari,24-170,1996,1,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mattia Destro\Mattia-Destro,it ITA,FW,Genoa,30-041,1991,26,1449,16.1,11,1,11,0,0,5,0,0.68,0.06,0.75,0.68,0.75,Matches
Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Udinese,27-048,1994,13,598,6.6,1,1,1,0,0,0,0,0.15,0.15,0.3,0.15,0.3,Matches
Jacopo Dezi\Jacopo-Dezi,it ITA,FWMF,Parma,29-079,1992,2,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Hellas Verona,32-222,1988,11,500,5.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Crotone,32-222,1988,11,475,5.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,it ITA,DF,Napoli,27-269,1993,31,2790,31,2,5,2,0,0,11,0,0.06,0.16,0.23,0.06,0.23,Matches
Alessandro Di Pardo\Alessandro-Di-Pardo,it ITA,MFDF,Juventus,21-286,1999,4,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Giuseppe Di Serio\Giuseppe-Di-Serio,it ITA,MFFW,Benevento,19-284,2001,14,190,2.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Amad Diallo\Amad-Diallo,ci CIV,MF,Atalanta,18-293,2002,1,14,0.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Amadou Diawara\Amadou-Diawara,gn GUI,MF,Roma,23-287,1997,18,658,7.3,1,0,1,0,0,4,1,0.14,0,0.14,0.14,0.14,Matches
Brahim Díaz\Brahim-Diaz,es ESP,MFFW,Milan,21-270,1999,22,975,10.8,2,2,2,0,0,1,0,0.18,0.18,0.37,0.18,0.37,Matches
Daan Dierckx\Daan-Dierckx,be BEL,DF,Parma,18-065,2003,3,176,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mitchell Dijks\Mitchell-Dijks,nl NED,DF,Bologna,28-080,1993,17,1268,14.1,0,0,0,0,0,6,1,0,0,0,0,0,Matches
Federico Dimarco\Federico-Dimarco,it ITA,DF,Hellas Verona,23-171,1997,30,2283,25.4,4,3,4,0,0,5,0,0.16,0.12,0.28,0.16,0.28,Matches
Koffi Djidji\Koffi-Djidji,ci CIV,DF,Crotone,28-151,1992,15,1074,11.9,1,0,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
Berat Djimsiti\Berat-Djimsiti,al ALB,DF,Atalanta,28-070,1993,28,2233,24.8,0,3,0,0,0,6,0,0,0.12,0.12,0,0.12,Matches
Nicolás Domínguez\Nicolas-Dominguez,ar ARG,MF,Bologna,22-306,1998,28,1255,13.9,1,0,1,0,0,8,0,0.07,0,0.07,0.07,0.07,Matches
Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,22-064,1999,32,2880,32,0,0,0,0,0,1,0,0,0,0,0,0,Matches
