Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Gabriele Moncini\Gabriele-Moncini,it ITA,FW,Benevento,25-004,1996,4,0,0,0,9,10,2,0,2,1,0,0,0,12,Matches
Cristóbal Montiel Rodríguez\Cristobal-Montiel-Rodriguez,es ESP,DFFW,Fiorentina,21-019,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Matches
Lorenzo Montipò\Lorenzo-Montipo,it ITA,GK,Benevento,25-069,1996,33,3,0,0,3,6,0,0,0,0,0,2,1,142,Matches
Luca Mora\Luca-Mora,it ITA,MF,Spezia,32-355,1988,1.3,0,0,0,2,2,0,1,1,3,0,0,0,5,Matches
Álvaro Morata\Alvaro-Morata,es ESP,FW,Juventus,28-189,1992,19.9,2,1,0,34,41,19,24,9,11,1,0,0,78,Matches
Mert Müldür\Mert-Muldur,tr TUR,DF,Sassuolo,22-027,1999,17,2,0,0,19,14,0,33,21,17,0,0,0,128,Matches
Luis Muriel\Luis-Muriel,co COL,FW,Atalanta,30-014,1991,13.9,0,0,0,18,18,3,34,7,11,0,0,0,84,Matches
Vedat Muriqi\Vedat-Muriqi,xk KVX,FW,Lazio,27-006,1994,5.8,1,0,0,8,15,9,3,0,3,0,0,0,28,Matches
Nicola Murru\Nicola-Murru,it ITA,DF,Torino,26-135,1994,6.3,0,0,0,12,12,0,21,6,10,0,0,0,53,Matches
Mateo Musacchio\Mateo-Musacchio,ar ARG,DF,Milan,30-247,1990,0.4,0,0,0,1,0,0,0,1,0,0,0,0,4,Matches
Mateo Musacchio\Mateo-Musacchio,ar ARG,DF,Lazio,30-247,1990,2.5,2,0,0,3,4,0,0,4,0,0,0,0,14,Matches
Juan Musso\Juan-Musso,ar ARG,GK,Udinese,26-359,1994,31,5,0,0,3,3,0,0,0,0,0,3,0,152,Matches
Joakim Mæhle\Joakim-Maehle,dk DEN,DF,Atalanta,23-345,1997,11.6,0,0,0,8,11,0,31,10,11,0,0,0,84,Matches
Radja Nainggolan\Radja-Nainggolan,be BEL,MF,Inter,32-361,1988,0.5,0,0,0,1,0,0,0,0,2,0,0,0,3,Matches
Radja Nainggolan\Radja-Nainggolan,be BEL,MF,Cagliari,32-361,1988,16.4,5,0,0,17,15,0,47,22,28,0,0,0,182,Matches
Nahitan Nández\Nahitan-Nandez,uy URU,MFDF,Cagliari,25-123,1995,25.9,8,1,0,33,56,7,71,24,29,0,0,0,197,Matches
Ilija Nestorovski\Ilija-Nestorovski,mk MKD,FW,Udinese,31-049,1990,7.8,1,0,0,16,16,5,4,4,3,0,0,0,40,Matches
Nicolas Nkoulou\Nicolas-Nkoulou,cm CMR,DF,Torino,31-034,1990,11.5,4,0,0,8,16,0,0,27,7,0,2,0,105,Matches
Bram Nuytinck\Bram-Nuytinck,nl NED,DF,Udinese,30-361,1990,16.2,1,0,0,7,5,0,3,20,12,0,0,0,99,Matches
Simeon Nwankwo\Simeon-Nwankwo,ng NGA,FW,Crotone,28-358,1992,27.7,1,0,0,39,35,18,5,3,8,0,0,0,107,Matches
M'Bala Nzola\MBala-Nzola,ao ANG,FW,Spezia,24-255,1996,18.1,4,0,0,43,20,23,2,6,7,0,1,0,87,Matches
Pedro Obiang\Pedro-Obiang,gq EQG,MF,Sassuolo,29-034,1992,14.7,3,1,0,19,18,0,4,13,23,0,0,0,129,Matches
Brain Oddei\Brain-Oddei,it ITA,MFFW,Sassuolo,18-224,2002,0.5,0,0,0,0,1,0,6,1,2,0,0,0,5,Matches
Stefano Okaka\Stefano-Okaka,it ITA,FW,Udinese,31-264,1989,12.3,1,0,0,32,24,9,4,4,7,0,0,0,39,Matches
Christian Oliva\Christian-Oliva,uy URU,MF,Cagliari,24-333,1996,4.3,2,0,0,7,5,0,2,5,4,0,0,0,42,Matches
Maximiliano Olivera\Maximiliano-Olivera,uy URU,DF,Fiorentina,29-056,1992,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
Jerome Onguene\Jerome-Onguene,cm CMR,DF,Genoa,23-129,1997,1,0,0,0,1,1,0,0,3,1,0,0,0,10,Matches
Riccardo Orsolini\Riccardo-Orsolini,it ITA,FWMF,Bologna,24-096,1997,16.9,0,0,0,19,36,7,28,9,8,0,1,0,96,Matches
Victor Osimhen\Victor-Osimhen,ng NGA,FW,Napoli,22-122,1998,13,3,0,0,21,28,13,14,7,8,1,0,0,44,Matches
Yordan Osorio\Yordan-Osorio,ve VEN,DF,Parma,26-355,1994,19,2,0,0,14,16,1,2,48,16,0,1,0,177,Matches
David Ospina\David-Ospina,co COL,GK,Napoli,32-242,1988,16,2,0,0,1,4,0,0,0,0,0,1,0,73,Matches
Adam Ounas\Adam-Ounas,dz ALG,FWMF,Crotone,24-170,1996,8.7,1,0,0,6,19,6,21,6,1,0,0,0,63,Matches
Adam Ounas\Adam-Ounas,dz ALG,MFFW,Cagliari,24-170,1996,3.4,0,0,0,3,9,1,11,5,1,0,0,0,27,Matches
Thomas Ouwejan\Thomas-Ouwejan,nl NED,DF,Udinese,24-212,1996,4.1,0,0,0,6,2,0,29,2,3,0,0,0,33,Matches
Mattia Pagliuca\Mattia-Pagliuca,it ITA,MF,Bologna,19-005,2002,0.1,0,0,0,0,1,0,0,1,0,0,0,0,0,Matches
Rodrigo Palacio\Rodrigo-Palacio,ar ARG,FW,Bologna,39-084,1982,22.8,5,0,0,37,56,27,41,6,11,0,0,0,104,Matches
Alberto Paleari\Alberto-Paleari,it ITA,GK,Genoa,28-244,1992,1.3,0,0,0,0,0,0,0,0,0,0,0,0,8,Matches
Antonio Palumbo\Antonio-Palumbo,it ITA,MF,Sampdoria,24-267,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Martin Palumbo\Martin-Palumbo,no NOR,MF,Udinese,19-056,2002,0.6,0,0,0,1,0,0,2,1,0,0,0,0,3,Matches
Goran Pandev\Goran-Pandev,mk MKD,FWMF,Genoa,37-277,1983,13,5,0,0,12,33,6,6,2,5,0,0,0,81,Matches
Vittorio Parigini\Vittorio-Parigini,it ITA,FWDF,Genoa,25-036,1996,0.6,0,0,0,0,2,1,3,0,1,0,0,0,4,Matches
Marco Parolo\Marco-Parolo,it ITA,DFMF,Lazio,36-095,1985,5.2,4,0,0,13,1,1,0,8,7,0,0,0,63,Matches
Mario Pašali?\Mario-Pasalic,hr CRO,MF,Atalanta,26-080,1995,11.3,2,0,0,18,9,0,6,9,16,0,0,0,88,Matches
Christian Pastina\Christian-Pastina,it ITA,DF,Benevento,20-074,2001,0.8,0,0,0,1,0,0,1,1,2,0,0,0,4,Matches
