Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,30-358,1990,16.4,3,1,1,13,10,1,0,25,9,0,0,2,112,46,20,69.7,Matches
Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-305,1991,21.2,1,0,0,24,31,1,62,16,31,2,0,0,150,7,13,35,Matches
Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,18-080,2003,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50,Matches
Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,31-159,1989,2.7,1,0,0,3,6,0,3,4,1,0,0,0,25,0,0,,Matches
Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,26-014,1995,24.9,3,0,0,29,10,4,8,24,25,0,0,1,215,76,49,60.8,Matches
Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,29-183,1991,11.6,2,0,0,13,21,16,5,2,4,0,0,0,41,44,89,33.1,Matches
Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,22-052,1999,9.6,2,0,0,18,11,0,7,13,22,0,1,0,110,8,14,36.4,Matches
Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,23-010,1998,12.1,0,0,0,11,30,4,13,13,16,0,0,0,69,15,34,30.6,Matches
Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,24-136,1996,23,3,0,0,13,24,13,70,29,17,0,0,0,142,11,35,23.9,Matches
Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,23-350,1997,28.6,3,0,0,19,17,1,2,21,19,0,1,1,254,52,27,65.8,Matches
