Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Salih Özcan\Salih-Ozcan,de GER,MF,Köln,19,1998,18.6,5,0,0,52,43,1,5,16,38,0,1,0,256,59,52,53.2,Matches
Levin Öztunal?\Levin-Oztunali,de GER,FWMF,Mainz 05,21,1996,19.3,3,0,0,29,24,8,41,4,14,0,0,0,132,14,21,40,Matches
Kyriakos Papadopoulos\Kyriakos-Papadopoulos,gr GRE,DF,Hamburger SV,25,1992,29,12,1,1,36,27,2,1,30,38,0,1,0,401,129,51,71.7,Matches
Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Dortmund,29,1988,26.4,5,1,0,39,34,1,2,25,32,0,0,0,281,69,22,75.8,Matches
Shawn Parker\Shawn-Parker,de GER,DFMF,Augsburg,24,1993,0.5,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,,Matches
Felix Passlack\Felix-Passlack,de GER,MFDF,Hoffenheim,19,1998,0.7,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,100,Matches
Felix Passlack\Felix-Passlack,de GER,DF,Dortmund,19,1998,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Stuttgart,21,1996,34,2,0,0,24,21,2,11,46,29,0,2,0,368,95,73,56.5,Matches
Ji?í Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,25,1992,34,1,0,0,0,9,0,0,0,0,0,0,0,177,0,0,,Matches
Peter Pekarík\Peter-Pekarik,sk SVK,DF,Hertha BSC,30,1986,15.3,1,0,0,14,14,0,18,15,16,0,0,0,126,17,14,54.8,Matches
Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,28,1988,24.9,4,1,1,16,18,9,14,15,16,4,0,0,136,97,135,41.8,Matches
Maximilian Philipp\Maximilian-Philipp,de GER,FWMF,Dortmund,23,1994,13.4,0,0,0,17,25,11,15,6,15,0,0,0,56,17,20,45.9,Matches
?ukasz Piszczek\Lukasz-Piszczek,pl POL,DF,Dortmund,32,1985,23.8,3,0,0,22,23,3,45,29,24,1,0,0,298,62,23,72.9,Matches
Claudio Pizarro\Claudio-Pizarro,pe PER,FWMF,Köln,38,1978,6.4,0,0,0,6,7,8,1,2,8,0,0,0,41,18,26,40.9,Matches
Marko Pjaca\Marko-Pjaca,hr CRO,FWMF,Schalke 04,22,1995,2.9,0,0,0,5,5,0,1,1,6,0,0,0,16,5,10,33.3,Matches
Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,25,1992,33,6,0,0,34,34,1,119,19,32,0,0,0,283,32,15,68.1,Matches
Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,MFFW,Leverkusen,22,1994,1.3,0,0,0,2,2,0,1,0,0,0,0,0,4,4,5,44.4,Matches
Eugen Polanski\Eugen-Polanski,pl POL,MF,Hoffenheim,31,1986,2.9,1,0,0,4,3,0,0,2,3,0,0,0,33,0,1,0,Matches
Julian Pollersbeck\Julian-Pollersbeck,de GER,GK,Hamburger SV,22,1994,10,1,0,0,0,0,0,0,0,0,0,0,0,67,0,0,,Matches
