Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Rodrigo\Rodrigo,es ESP,FWMF,Betis,20-348,2000,4.2,0,0,0,1,11,2,8,1,1,0,0,0,30,1,6,14.3,Matches
Kévin Rodrigues\Kevin-Rodrigues,pt POR,DFMF,Eibar,27-055,1994,11.6,1,0,0,8,16,1,37,14,10,0,0,0,113,12,34,26.1,Matches
Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,es ESP,MFFW,Sevilla,22-305,1998,4.1,1,0,0,9,8,0,16,4,10,0,0,0,37,5,8,38.5,Matches
Ángel Rodríguez\Angel-Rodriguez,es ESP,FWMF,Getafe,34-003,1987,13.8,4,0,0,24,20,11,13,1,2,1,0,0,62,23,68,25.3,Matches
Guido Rodríguez\Guido-Rodriguez,ar ARG,MF,Betis,27-017,1994,26.8,10,0,0,52,45,0,4,43,64,0,1,0,295,40,35,53.3,Matches
Miguel Rodríguez\Miguel-Rodriguez,es ESP,FWMF,Celta Vigo,18-000,2003,0.3,2,0,0,2,1,0,1,0,2,0,0,0,1,0,1,0,Matches
Víctor Rodríguez\Victor-Rodriguez,es ESP,MF,Elche,31-280,1989,4.2,1,0,0,7,7,0,1,8,4,0,0,0,30,5,4,55.6,Matches
Rodrygo\Rodrygo,br BRA,FW,Real Madrid,20-110,2001,8.7,0,0,0,13,17,1,11,7,6,0,0,0,40,9,13,40.9,Matches
Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Osasuna,34-078,1987,13.7,3,1,1,15,6,0,15,12,15,0,1,0,171,35,22,61.4,Matches
Rubén\Ruben,es ESP,GKMF,Osasuna,36-311,1984,2.1,0,1,0,1,0,0,0,0,0,0,0,0,9,0,0,,Matches
Waldo Rubio\Waldo-Rubio,es ESP,FW,Valladolid,25-255,1995,4.2,1,0,0,8,2,1,3,1,5,0,0,0,32,0,10,0,Matches
Aitor Ruibal\Aitor-Ruibal,es ESP,FWMF,Betis,25-038,1996,15.3,2,0,0,28,15,3,21,19,22,0,0,0,91,13,17,43.3,Matches
Isma Ruiz\Isma-Ruiz,es ESP,MF,Granada,20-074,2001,0.7,0,0,0,0,0,0,0,0,2,0,0,0,8,1,4,20,Matches
Víctor Ruiz\Victor-Ruiz,es ESP,DF,Betis,32-094,1989,19,6,0,0,20,4,2,0,35,9,0,0,2,181,53,30,63.9,Matches
Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Villarreal,28-344,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches
Modibo Sagnan\Modibo-Sagnan,ml MLI,DFMF,Real Sociedad,22-015,1999,6.3,3,0,0,13,4,0,1,7,3,0,0,0,54,16,14,53.3,Matches
Borja Sainz\Borja-Sainz,es ESP,MFFW,Alavés,20-087,2001,4.7,1,0,0,14,6,4,11,5,5,0,0,0,32,2,11,15.4,Matches
Salvi\Salvi,es ESP,MFFW,Cádiz,30-030,1991,20.8,5,0,0,16,29,6,81,17,12,0,1,0,120,18,34,34.6,Matches
Fede San Emeterio\Fede-San-Emeterio,es ESP,MF,Valladolid,24-044,1997,14.1,6,0,0,34,16,0,1,13,17,0,1,0,143,25,36,41,Matches
Antonio Sanabria\Antonio-Sanabria,py PAR,FW,Betis,25-056,1996,10.4,2,0,0,17,11,3,1,2,6,0,0,0,39,36,37,49.3,Matches
